Level,Variable,Distribution,Degrees of Freedom (df),Location (loc),Scale,KS Statistic,KS P-value,Sample Size,Mean (μ),Std Dev (σ),Parameter 3
Community,empirical_growth_rate,Student t,7.493665895723598,0.031361270024864885,0.014532501454241736,0.03938148679893272,0.6940713418006728,317,,,
Community,pop_averaged_growth_rate,Student t,17.783116188769657,0.02993720902851807,0.017092963047803902,0.04419463984730543,0.5506233222539723,317,,,
Community,inc_averaged_growth_rate,Student t,7.1518096028105,0.026857416200437904,0.01470377795527012,0.0450295057150677,0.5265159050235604,317,,,
Community,population_growth_rate,Student t,2.8740787393895033,-0.0011103558926819656,0.006792543183968705,0.043339493422460684,0.5756901027191498,317,,,
Community,initial_log_income,Normal,,,,0.03473690402102503,0.8258797347856348,317,11.344299365614132,0.4236320561518736,
Tract,empirical_growth_rate,Student t,5.981073071396112,0.03368586716326438,0.02603719500296644,0.016848924625851858,0.6223317005535565,1977,,,
Tract,pop_averaged_growth_rate,Student t,6.366586065762895,0.031989830046843595,0.027748804672085445,0.020870504236657123,0.3504664524623431,1977,,,
Tract,inc_averaged_growth_rate,Student t,5.643471891334791,0.030157096683252227,0.026303615530375097,0.015153563842890572,0.7483167431474387,1977,,,
Tract,population_growth_rate,Student t,3.4340694352752665,-0.0010712453848853438,0.016518335804007446,0.013397760960311977,0.8650683009783847,1977,,,
Tract,initial_log_income,Normal,,,,0.020572945804319454,0.36773335608544855,1977,11.261827626359883,0.48960920043572304,
Block Group,empirical_growth_rate,Student t,6.6941463048730725,0.03405137365718873,0.04436062232462184,0.009749129375719978,0.6291072811299812,5866,,,
Block Group,population_growth_rate,Student t,4.784197309017641,-0.001109438870688189,0.044690060856056174,0.008678573561855196,0.7654682653931134,5866,,,
Block Group,initial_log_income,Normal,,,,0.013417058311422092,0.2394306125496013,5866,11.252213285063931,0.5198753325828576,
